WKT,name,description
"POLYGON ((70.401954 23.307558, 70.315098 23.375816, 70.216958 23.397478, 70.214294 23.391423, 70.192184 23.364802, 70.191535 23.364021, 70.188902 23.360851, 70.188891 23.360801, 70.190314 23.357297, 70.190315 23.357295, 70.191452 23.354494, 70.2039 23.355394, 70.292831 23.335765, 70.362312 23.281172, 70.383955 23.232997, 70.385666 23.233389, 70.388705 23.230856, 70.395148 23.230968, 70.403015 23.235396, 70.413172 23.236978, 70.418102 23.237478, 70.424761 23.237255, 70.428591 23.236477, 70.432523 23.235107, 70.434111 23.234488, 70.434897 23.234176, 70.401954 23.307558))",370140_H,C9
"POLYGON ((70.443441 23.215144, 70.435548 23.232727, 70.432233 23.229897, 70.431683 23.222728, 70.428031 23.217546, 70.429613 23.216426, 70.43116 23.215571, 70.431666 23.215292, 70.442722 23.20918, 70.442878 23.210471, 70.443095 23.212272, 70.443441 23.215144))",370140_I,C9
"POLYGON ((70.441612 23.333934, 70.337377 23.415864, 70.212086 23.44352, 70.210967 23.429632, 70.216958 23.397478, 70.315098 23.375816, 70.401954 23.307558, 70.434897 23.234176, 70.435703 23.233856, 70.435762 23.233847, 70.436309 23.233377, 70.435548 23.232727, 70.443441 23.215144, 70.443508 23.215697, 70.444164 23.220918, 70.444593 23.224704, 70.448088 23.229548, 70.448177 23.229672, 70.448237 23.229755, 70.450204 23.232482, 70.451218 23.231946, 70.451113 23.233743, 70.452434 23.235575, 70.454202 23.238025, 70.454477 23.238406, 70.455895 23.240372, 70.456233 23.24084, 70.457569 23.242692, 70.458091 23.243416, 70.458733 23.243896, 70.45934 23.244733, 70.459886 23.245904, 70.46048 23.247699, 70.460919 23.249027, 70.461482 23.25073, 70.46195 23.252372, 70.46286 23.254254, 70.463289 23.256191, 70.464025 23.258419, 70.464237 23.259059, 70.464301 23.259252, 70.465403 23.262582, 70.468891 23.273125, 70.469948 23.283275, 70.461935 23.28863, 70.4611 23.289281, 70.460182 23.289903, 70.459947 23.290062, 70.459758 23.290182, 70.459293 23.290475, 70.459208 23.290528, 70.459155 23.290562, 70.459127 23.29058, 70.459068 23.290617, 70.458964 23.290683, 70.458773 23.290808, 70.458732 23.290835, 70.458619 23.290909, 70.458406 23.291049, 70.458327 23.2911, 70.458126 23.291232, 70.457519 23.291623, 70.458612 23.292682, 70.459514 23.294027, 70.441612 23.333934))",370140_J,C11
"POLYGON ((70.493857 23.21747, 70.468891 23.273125, 70.465403 23.262582, 70.464301 23.259252, 70.464237 23.259059, 70.464025 23.258419, 70.463289 23.256191, 70.46286 23.254254, 70.46195 23.252372, 70.461482 23.25073, 70.460919 23.249027, 70.46048 23.247699, 70.459886 23.245904, 70.45934 23.244733, 70.458733 23.243896, 70.458091 23.243416, 70.457569 23.242692, 70.456233 23.24084, 70.455895 23.240372, 70.454477 23.238406, 70.454202 23.238025, 70.452434 23.235575, 70.451113 23.233743, 70.451218 23.231946, 70.450204 23.232482, 70.448237 23.229755, 70.448177 23.229672, 70.448088 23.229548, 70.444593 23.224704, 70.444164 23.220918, 70.443508 23.215697, 70.443441 23.215144, 70.445518 23.210517, 70.445278 23.207767, 70.446197 23.207259, 70.451471 23.204471, 70.457489 23.20458, 70.461005 23.203897, 70.470308 23.201029, 70.475714 23.19968, 70.488791 23.191431, 70.49118 23.186957, 70.493857 23.21747))",370150_C,C11
"POLYGON ((70.542201 23.224408, 70.485152 23.351675, 70.484527 23.350087, 70.483434 23.348526, 70.482706 23.347301, 70.481856 23.346409, 70.480885 23.344905, 70.479914 23.342787, 70.478518 23.341004, 70.477487 23.339276, 70.476151 23.338329, 70.475787 23.336824, 70.47512 23.334818, 70.473542 23.332533, 70.473298 23.332219, 70.472631 23.331363, 70.471721 23.32997, 70.470689 23.330193, 70.468383 23.329858, 70.46553 23.327239, 70.465045 23.325233, 70.466562 23.322613, 70.465712 23.319994, 70.467655 23.318935, 70.467776 23.317988, 70.467533 23.316538, 70.467412 23.315368, 70.467533 23.314309, 70.467594 23.313306, 70.467569 23.312671, 70.467542 23.311968, 70.467533 23.311745, 70.467594 23.310686, 70.467412 23.309906, 70.466684 23.308289, 70.466016 23.30606, 70.464863 23.303998, 70.464438 23.302158, 70.463528 23.300319, 70.462739 23.298981, 70.462799 23.297531, 70.461889 23.296528, 70.460979 23.295302, 70.459583 23.294131, 70.459514 23.294027, 70.459293 23.290475, 70.461935 23.28863, 70.462314 23.288334, 70.463433 23.287534, 70.464262 23.287009, 70.464287 23.286993, 70.464335 23.286962, 70.4653 23.286351, 70.466562 23.285518, 70.466684 23.285429, 70.466691 23.285424, 70.467115 23.285114, 70.468049 23.284431, 70.469948 23.283275, 70.470841 23.282731, 70.471782 23.281867, 70.470466 23.277888, 70.470437 23.277799, 70.468891 23.273125, 70.493857 23.21747, 70.49118 23.186957, 70.491644 23.186088, 70.493904 23.184461, 70.496592 23.183249, 70.497252 23.182951, 70.498453 23.182291, 70.499609 23.181336, 70.499662 23.181292, 70.499869 23.180957, 70.499997 23.180749, 70.500563 23.179261, 70.500764 23.178733, 70.501243 23.178119, 70.502312 23.177899, 70.504925 23.177901, 70.506785 23.177735, 70.509193 23.17752, 70.511562 23.177359, 70.512919 23.177861, 70.514423 23.178038, 70.515732 23.178152, 70.517499 23.178533, 70.518813 23.178669, 70.520713 23.17881, 70.522461 23.179051, 70.523701 23.179381, 70.524858 23.179391, 70.527329 23.17913, 70.529971 23.178586, 70.530538 23.178469, 70.531159 23.178419, 70.531716 23.17854, 70.532911 23.1788, 70.534108 23.179229, 70.53527 23.179338, 70.537638 23.179042, 70.538201 23.178998, 70.542201 23.224408))",370150_D,C12
"POLYGON ((70.458535 23.378185, 70.418943 23.409311, 70.419596 23.404994, 70.419719 23.404183, 70.420679 23.397841, 70.421286 23.392595, 70.44265 23.381565, 70.458535 23.378185))",370135_A,C12
"POLYGON ((70.418943 23.409311, 70.359671 23.455909, 70.218658 23.487035, 70.217767 23.483972, 70.212905 23.453687, 70.212086 23.44352, 70.337377 23.415864, 70.441612 23.333934, 70.459514 23.294027, 70.459583 23.294131, 70.460979 23.295302, 70.461889 23.296528, 70.462799 23.297531, 70.462739 23.298981, 70.463528 23.300319, 70.464438 23.302158, 70.464863 23.303998, 70.466016 23.30606, 70.466684 23.308289, 70.467412 23.309906, 70.467594 23.310686, 70.467533 23.311745, 70.467542 23.311968, 70.467569 23.312671, 70.467594 23.313306, 70.467533 23.314309, 70.467412 23.315368, 70.467533 23.316538, 70.467776 23.317988, 70.467655 23.318935, 70.465712 23.319994, 70.466562 23.322613, 70.465045 23.325233, 70.46553 23.327239, 70.468383 23.329858, 70.470689 23.330193, 70.471721 23.32997, 70.472631 23.331363, 70.473298 23.332219, 70.473542 23.332533, 70.47512 23.334818, 70.475787 23.336824, 70.476151 23.338329, 70.477487 23.339276, 70.478518 23.341004, 70.479914 23.342787, 70.480885 23.344905, 70.481856 23.346409, 70.482706 23.347301, 70.483434 23.348526, 70.484527 23.350087, 70.485152 23.351675, 70.481285 23.3603, 70.458535 23.378185, 70.44265 23.381565, 70.421286 23.392595, 70.420679 23.397841, 70.419719 23.404183, 70.419596 23.404994, 70.418943 23.409311))",370140_K,C12
"POLYGON ((70.546393 23.329909, 70.538003 23.348642, 70.53654 23.34893, 70.535991 23.349038, 70.534619 23.349309, 70.531805 23.349864, 70.529436 23.350219, 70.526878 23.350603, 70.526673 23.350633, 70.525834 23.350759, 70.524215 23.351002, 70.522654 23.351236, 70.521456 23.351416, 70.518702 23.35181, 70.516806 23.35208, 70.516262 23.352158, 70.514569 23.352399, 70.512774 23.352544, 70.512662 23.352553, 70.512542 23.352563, 70.512415 23.352574, 70.509998 23.352769, 70.507755 23.352951, 70.507147 23.353, 70.506636 23.353042, 70.505082 23.353168, 70.503436 23.353301, 70.502143 23.353406, 70.501608 23.353339, 70.500773 23.353235, 70.500011 23.35314, 70.499921 23.353129, 70.498759 23.352984, 70.498023 23.353319, 70.497151 23.353716, 70.496222 23.354139, 70.495087 23.354656, 70.494354 23.354756, 70.493493 23.354874, 70.492951 23.354949, 70.49184 23.355101, 70.490596 23.35577, 70.489382 23.355603, 70.488168 23.354043, 70.485316 23.352093, 70.485152 23.351675, 70.542201 23.224408, 70.538201 23.178998, 70.541467 23.178741, 70.543328 23.178729, 70.545848 23.178572, 70.548236 23.178271, 70.550087 23.1781, 70.550386 23.178166, 70.551396 23.178389, 70.551613 23.178319, 70.552465 23.178042, 70.553085 23.178011, 70.554365 23.178368, 70.554936 23.178562, 70.555605 23.178698, 70.557427 23.178591, 70.559185 23.178108, 70.559956 23.178059, 70.560528 23.178249, 70.560833 23.178225, 70.561685 23.178159, 70.562325 23.17811, 70.562945 23.17806, 70.564195 23.177781, 70.566066 23.178111, 70.568483 23.177832, 70.569723 23.177719, 70.570974 23.17786, 70.572785 23.177942, 70.573996 23.178222, 70.575881 23.177929, 70.577151 23.178042, 70.578963 23.177709, 70.580804 23.177881, 70.582645 23.178211, 70.585082 23.178609, 70.585885 23.17859, 70.59055 23.231332, 70.5487 23.324759, 70.548638 23.324789, 70.548009 23.325091, 70.54754 23.325316, 70.547055 23.325549, 70.547025 23.325744, 70.54696 23.326178, 70.546864 23.326808, 70.546824 23.32707, 70.546736 23.32765, 70.546393 23.329909))",370150_E,C13
"POLYGON ((70.520975 23.386655, 70.418222 23.46745, 70.413952 23.465766, 70.414589 23.458084, 70.41459 23.458077, 70.414912 23.454186, 70.415157 23.451232, 70.415259 23.450006, 70.415351 23.448896, 70.416086 23.44003, 70.416421 23.435662, 70.416588 23.433487, 70.416613 23.433167, 70.416637 23.43294, 70.416695 23.432387, 70.416752 23.431844, 70.41681 23.431289, 70.417076 23.430202, 70.417342 23.429111, 70.418115 23.426394, 70.418522 23.424248, 70.419402 23.421983, 70.419145 23.419502, 70.417943 23.415919, 70.418943 23.409311, 70.458535 23.378185, 70.470845 23.375566, 70.478518 23.373933, 70.480186 23.370481, 70.480198 23.370456, 70.480207 23.370438, 70.480407 23.370016, 70.480454 23.369914, 70.480455 23.369911, 70.480464 23.369892, 70.480505 23.369807, 70.48054 23.369731, 70.480559 23.369691, 70.480607 23.369593, 70.481058 23.368686, 70.481912 23.366939, 70.485073 23.367303, 70.485535 23.363689, 70.485908 23.362679, 70.48653 23.361718, 70.487616 23.36101, 70.487938 23.360851, 70.488097 23.360773, 70.488257 23.360694, 70.488299 23.360673, 70.488345 23.360651, 70.488434 23.360607, 70.488603 23.360524, 70.488753 23.360452, 70.488761 23.360448, 70.488844 23.360408, 70.48891 23.360377, 70.488954 23.360356, 70.489068 23.360302, 70.489272 23.360206, 70.489574 23.360062, 70.489923 23.359896, 70.490212 23.359759, 70.49005 23.357497, 70.490596 23.35577, 70.49184 23.355101, 70.492951 23.354949, 70.493493 23.354874, 70.494354 23.354756, 70.495087 23.354656, 70.496222 23.354139, 70.497151 23.353716, 70.498023 23.353319, 70.498759 23.352984, 70.499921 23.353129, 70.500011 23.35314, 70.500773 23.353235, 70.501608 23.353339, 70.502143 23.353406, 70.503436 23.353301, 70.505082 23.353168, 70.506636 23.353042, 70.507147 23.353, 70.507755 23.352951, 70.509998 23.352769, 70.512415 23.352574, 70.512542 23.352563, 70.512662 23.352553, 70.512774 23.352544, 70.514569 23.352399, 70.516262 23.352158, 70.516806 23.35208, 70.518702 23.35181, 70.521456 23.351416, 70.522654 23.351236, 70.524215 23.351002, 70.525834 23.350759, 70.526673 23.350633, 70.526878 23.350603, 70.529436 23.350219, 70.531805 23.349864, 70.534619 23.349309, 70.535991 23.349038, 70.53654 23.34893, 70.538003 23.348642, 70.520975 23.386655))",370135_B,C13
"POLYGON ((70.418222 23.46745, 70.381977 23.49595, 70.230955 23.529287, 70.218658 23.487035, 70.359671 23.455909, 70.418943 23.409311, 70.417943 23.415919, 70.419145 23.419502, 70.419402 23.421983, 70.418522 23.424248, 70.418115 23.426394, 70.417342 23.429111, 70.417076 23.430202, 70.41681 23.431289, 70.416752 23.431844, 70.416695 23.432387, 70.416637 23.43294, 70.416613 23.433167, 70.416588 23.433487, 70.416421 23.435662, 70.416086 23.44003, 70.415351 23.448896, 70.415259 23.450006, 70.415157 23.451232, 70.414912 23.454186, 70.41459 23.458077, 70.414589 23.458084, 70.413952 23.465766, 70.418222 23.46745))",370140_M,C13
"POLYGON ((70.481285 23.3603, 70.485152 23.351675, 70.485316 23.352093, 70.488168 23.354043, 70.489382 23.355603, 70.490596 23.35577, 70.49005 23.357497, 70.490212 23.359759, 70.489923 23.359896, 70.489574 23.360062, 70.489272 23.360206, 70.489068 23.360302, 70.488954 23.360356, 70.48891 23.360377, 70.488844 23.360408, 70.488761 23.360448, 70.488753 23.360452, 70.488603 23.360524, 70.488434 23.360607, 70.488345 23.360651, 70.488299 23.360673, 70.488257 23.360694, 70.488097 23.360773, 70.487938 23.360851, 70.487616 23.36101, 70.48653 23.361718, 70.485908 23.362679, 70.485535 23.363689, 70.485073 23.367303, 70.481912 23.366939, 70.481058 23.368686, 70.480607 23.369593, 70.480559 23.369691, 70.48054 23.369731, 70.480505 23.369807, 70.480464 23.369892, 70.480455 23.369911, 70.480454 23.369914, 70.480407 23.370016, 70.480207 23.370438, 70.480198 23.370456, 70.480186 23.370481, 70.478518 23.373933, 70.470845 23.375566, 70.458535 23.378185, 70.481285 23.3603))",370140_N,C13
"POLYGON ((70.440634 23.507412, 70.404298 23.535989, 70.268246 23.566021, 70.254822 23.560211, 70.233316 23.537399, 70.230955 23.529287, 70.381977 23.49595, 70.418222 23.46745, 70.430329 23.472226, 70.434487 23.47629, 70.437279 23.478203, 70.44001 23.480075, 70.442225 23.481857, 70.444593 23.48466, 70.445087 23.489023, 70.445623 23.493752, 70.452048 23.498435, 70.440634 23.507412))",370140_O,C14
"POLYGON ((70.56068 23.413001, 70.452048 23.498435, 70.4497 23.497019, 70.445623 23.493752, 70.445424 23.491998, 70.445295 23.490859, 70.445087 23.489023, 70.444593 23.48466, 70.442225 23.481857, 70.44001 23.480075, 70.437279 23.478203, 70.434487 23.47629, 70.430329 23.472226, 70.418222 23.46745, 70.520975 23.386655, 70.538003 23.348642, 70.539415 23.348363, 70.540041 23.348272, 70.540668 23.348181, 70.541303 23.348089, 70.543213 23.347812, 70.543436 23.347924, 70.543645 23.348029, 70.542857 23.353225, 70.542137 23.357973, 70.541431 23.362622, 70.540815 23.366684, 70.540747 23.367133, 70.540724 23.367285, 70.540509 23.368698, 70.540356 23.369709, 70.540245 23.370441, 70.540242 23.370714, 70.540246 23.371571, 70.540244 23.371988, 70.540246 23.372196, 70.540246 23.372395, 70.54025 23.372814, 70.540248 23.373425, 70.540248 23.373543, 70.54025 23.373606, 70.54025 23.373665, 70.540249 23.374089, 70.540288 23.376812, 70.540318 23.37894, 70.540323 23.379305, 70.541535 23.379896, 70.542304 23.380271, 70.549918 23.383982, 70.559202 23.405134, 70.561677 23.410773, 70.56068 23.413001))",370135_C,C14
"POLYGON ((70.638904 23.238241, 70.618643 23.283506, 70.612328 23.285687, 70.610738 23.286325, 70.609793 23.286704, 70.607988 23.287429, 70.607037 23.28781, 70.606516 23.28802, 70.604554 23.288807, 70.604397 23.288942, 70.604176 23.289132, 70.603947 23.289329, 70.60365 23.289585, 70.603388 23.289811, 70.594868 23.297148, 70.59435 23.297594, 70.594221 23.297705, 70.580551 23.309477, 70.577153 23.311107, 70.576001 23.31166, 70.571545 23.313798, 70.571216 23.313956, 70.570634 23.314235, 70.56475 23.317059, 70.563995 23.316908, 70.563456 23.316845, 70.562925 23.316887, 70.562075 23.316901, 70.561227 23.317036, 70.560486 23.317213, 70.560336 23.317676, 70.560207 23.318149, 70.559703 23.318218, 70.559285 23.318139, 70.559016 23.318169, 70.55892 23.318425, 70.558834 23.318908, 70.558587 23.319302, 70.558244 23.319834, 70.557882 23.320354, 70.554507 23.321973, 70.554011 23.322211, 70.55323 23.322586, 70.549114 23.324561, 70.549014 23.324609, 70.5487 23.324759, 70.59055 23.231332, 70.585885 23.17859, 70.586215 23.178582, 70.588231 23.178718, 70.590722 23.179129, 70.5929 23.179342, 70.594204 23.17978, 70.595991 23.179921, 70.599038 23.179858, 70.602261 23.179791, 70.60269 23.17981, 70.603663 23.179853, 70.604718 23.179899, 70.60632 23.180288, 70.608229 23.180739, 70.609391 23.180929, 70.611257 23.180848, 70.612468 23.180771, 70.613689 23.181178, 70.615627 23.181611, 70.61614 23.181801, 70.617908 23.181828, 70.618597 23.182131, 70.6191 23.182411, 70.620286 23.182758, 70.62225 23.182979, 70.623856 23.18349, 70.625048 23.183959, 70.625668 23.183959, 70.626327 23.184149, 70.627539 23.184117, 70.628755 23.184388, 70.629966 23.184609, 70.631197 23.184898, 70.632447 23.185151, 70.633638 23.185368, 70.634231 23.185614, 70.638904 23.238241))",370150_F,C14
"POLYGON ((70.687263 23.245134, 70.671284 23.280859, 70.623748 23.281741, 70.622906 23.282032, 70.621872 23.28239, 70.618643 23.283506, 70.638904 23.238241, 70.634231 23.185614, 70.634767 23.185837, 70.636066 23.186279, 70.637106 23.186437, 70.637771 23.186537, 70.638307 23.186618, 70.639377 23.1872, 70.640994 23.18804, 70.642576 23.18887, 70.643016 23.189281, 70.643997 23.189908, 70.645653 23.190838, 70.647333 23.191457, 70.648545 23.191759, 70.649023 23.192039, 70.647666 23.19445, 70.647275 23.195488, 70.646411 23.197233, 70.645987 23.198089, 70.645754 23.198516, 70.644854 23.200166, 70.644375 23.201168, 70.645206 23.201958, 70.645597 23.202242, 70.645704 23.20232, 70.645353 23.204405, 70.645055 23.206537, 70.644859 23.207052, 70.644635 23.207638, 70.644635 23.208216, 70.645915 23.209525, 70.647035 23.211027, 70.647313 23.211399, 70.647913 23.212288, 70.650083 23.215028, 70.650865 23.215967, 70.651744 23.216654, 70.652066 23.216906, 70.652154 23.217267, 70.651735 23.218364, 70.651642 23.220035, 70.651506 23.221168, 70.651444 23.221408, 70.650803 23.223895, 70.654322 23.222775, 70.65461 23.222684, 70.654715 23.222576, 70.655336 23.221966, 70.655795 23.221524, 70.656195 23.221307, 70.656762 23.221284, 70.657392 23.221366, 70.658144 23.221587, 70.658863 23.221726, 70.659341 23.221767, 70.659703 23.221966, 70.659972 23.222164, 70.660304 23.222317, 70.661843 23.222317, 70.662233 23.222344, 70.662561 23.222606, 70.663294 23.223026, 70.664354 23.223445, 70.664945 23.223757, 70.665263 23.224095, 70.665414 23.224334, 70.665385 23.224646, 70.665253 23.225048, 70.665234 23.225436, 70.665273 23.225797, 70.66517 23.226226, 70.665083 23.226565, 70.665014 23.226867, 70.665054 23.227043, 70.665181 23.227116, 70.665322 23.227106, 70.665391 23.227048, 70.665581 23.226854, 70.666045 23.226167, 70.666772 23.224975, 70.66729 23.224018, 70.667612 23.223476, 70.667803 23.223146, 70.667851 23.222717, 70.667792 23.222045, 70.667563 23.221318, 70.667152 23.220307, 70.666991 23.220058, 70.666991 23.219815, 70.667044 23.219688, 70.667245 23.219566, 70.667631 23.219715, 70.668363 23.220175, 70.669433 23.220658, 70.670283 23.221015, 70.671041 23.221154, 70.671519 23.221204, 70.671881 23.221448, 70.672472 23.221628, 70.672809 23.221628, 70.673054 23.221547, 70.673474 23.221348, 70.673884 23.221077, 70.67406 23.221036, 70.67424 23.221117, 70.67468 23.221627, 70.675042 23.222038, 70.675291 23.222097, 70.675482 23.222088, 70.675662 23.222006, 70.675843 23.221825, 70.67595 23.221604, 70.676092 23.221288, 70.676209 23.220828, 70.676419 23.220498, 70.67678 23.220317, 70.677059 23.220295, 70.67743 23.220267, 70.677821 23.220236, 70.67805 23.220096, 70.678172 23.219856, 70.678172 23.219725, 70.67807 23.219635, 70.677483 23.219274, 70.677151 23.219107, 70.677053 23.218994, 70.676951 23.218787, 70.676951 23.218606, 70.677151 23.218434, 70.677371 23.218376, 70.677752 23.218376, 70.67827 23.218637, 70.678641 23.218727, 70.679061 23.218696, 70.67929 23.218727, 70.679501 23.218817, 70.679701 23.218844, 70.679911 23.218686, 70.68015 23.218456, 70.680331 23.218366, 70.680683 23.218316, 70.680922 23.218316, 70.68121 23.218167, 70.681391 23.217954, 70.681562 23.217787, 70.681723 23.217498, 70.681898 23.217128, 70.682001 23.216735, 70.682059 23.216266, 70.681981 23.215846, 70.681771 23.215548, 70.681561 23.215385, 70.681292 23.215164, 70.680798 23.214939, 70.68052 23.214745, 70.680359 23.214596, 70.680471 23.214487, 70.68074 23.214487, 70.681551 23.214848, 70.682313 23.215286, 70.683192 23.215687, 70.683959 23.215859, 70.68436 23.215944, 70.684662 23.215959, 70.687263 23.245134))",370150_H,C15
"POLYGON ((70.454844 23.553832, 70.426632 23.576024, 70.336277 23.595969, 70.328979 23.592307, 70.268246 23.566021, 70.404298 23.535989, 70.440634 23.507412, 70.444288 23.520817, 70.448719 23.531612, 70.450661 23.540237, 70.455243 23.551809, 70.454844 23.553832))",370140_P,C15
"POLYGON ((70.56068 23.413001, 70.561677 23.410773, 70.563919 23.415879, 70.568498 23.426308, 70.560207 23.434427, 70.552826 23.439624, 70.5439 23.442459, 70.535488 23.445136, 70.52845 23.454113, 70.521069 23.464506, 70.518494 23.473481, 70.512314 23.489934, 70.508881 23.49694, 70.503902 23.50245, 70.496864 23.5067, 70.476265 23.507015, 70.468626 23.505638, 70.459571 23.50245, 70.457039 23.501182, 70.455818 23.50057, 70.454508 23.499831, 70.453375 23.499191, 70.452234 23.498547, 70.452048 23.498435, 70.56068 23.413001))",370135_D,C15
