WKT,name,description
"POLYGON ((80.116911 24.817306, 80.084426 24.782729, 80.084525 24.782626, 80.078193 24.776095, 80.06432 24.723415, 80.078289 24.670758, 80.117025 24.629594, 80.172078 24.608884, 80.200331 24.610903, 80.2309851 24.6138168, 80.2827994 24.6434772, 80.3100732 24.6814114, 80.315383 24.709361, 80.318205 24.741565, 80.295424 24.791624, 80.250072 24.826826, 80.209562 24.83566, 80.19204 24.839481, 80.172042 24.838052, 80.116911 24.817306), (80.276146 24.735544, 80.26095 24.768914, 80.230717 24.792376, 80.19204 24.800811, 80.178712 24.799858, 80.141967 24.786031, 80.116152 24.758562, 80.106893 24.723445, 80.116195 24.688338, 80.142017 24.66089, 80.1785154 24.6469997, 80.218336 24.64991, 80.252221 24.668768, 80.273003 24.699547, 80.276146 24.735544))",488220_A,C5
"POLYGON ((80.296683 24.840121, 80.269437 24.861273, 80.19204 24.878152, 80.165367 24.876246, 80.091843 24.848577, 80.089443 24.846022, 80.094795 24.841425, 80.095139 24.827248, 80.090675 24.813849, 80.084496 24.799825, 80.079689 24.78767, 80.084405 24.782751, 80.084419 24.782736, 80.084426 24.782729, 80.116911 24.817306, 80.172042 24.838052, 80.19204 24.839481, 80.209562 24.83566, 80.214272 24.838465, 80.261307 24.827716, 80.281908 24.829741, 80.296683 24.840121))",488220_B,C7
"POLYGON ((80.309732 24.879475, 80.288813 24.895718, 80.19204 24.916823, 80.158689 24.914439, 80.066762 24.879844, 80.061684 24.874435, 80.066643 24.868371, 80.071793 24.859649, 80.073338 24.857625, 80.085182 24.849681, 80.089443 24.846022, 80.091843 24.848577, 80.165367 24.876246, 80.19204 24.878152, 80.269437 24.861273, 80.296683 24.840121, 80.297873 24.840957, 80.301991 24.875536, 80.309732 24.879475))",488220_C,C9
"POLYGON ((80.398922 24.859708, 80.3082 24.93016, 80.19204 24.955494, 80.158201 24.953075, 80.149384 24.9527559, 80.106946 24.935673, 80.041669 24.911106, 80.039038 24.908303, 80.04158 24.901385, 80.041619 24.901332, 80.046887 24.894163, 80.058746 24.878027, 80.061684 24.874435, 80.066762 24.879844, 80.158689 24.914439, 80.19204 24.916823, 80.288813 24.895718, 80.309732 24.879475, 80.337181 24.893444, 80.405502 24.82756, 80.415689 24.822787, 80.398922 24.859708))",488220_D,C11
"POLYGON ((80.36612 24.934679, 80.327598 24.9646, 80.213191 24.989552, 80.209059 24.987013, 80.206146 24.985913, 80.20081 24.976671, 80.178229 24.968748, 80.167789 24.964787, 80.159049 24.961265, 80.15831 24.953379, 80.158201 24.953075, 80.19204 24.955494, 80.3082 24.93016, 80.398922 24.859708, 80.415689 24.822787, 80.426788 24.817588, 80.446701 24.820705, 80.433648 24.854665, 80.38147 24.918511, 80.36612 24.934679))",488220_E,C12
"POLYGON ((80.041669 24.911106, 80.106946 24.935673, 80.149384 24.9527559, 80.158201 24.953075, 80.15831 24.953379, 80.159049 24.961265, 80.055656 24.93688, 80.04982 24.929719, 80.044327 24.921625, 80.044327 24.916954, 80.038834 24.908858, 80.039038 24.908303, 80.041669 24.911106))",488220_F,C12
"POLYGON ((80.306306 25.007914, 80.248743 25.020469, 80.244744 25.017815, 80.238566 25.012121, 80.238312 25.011887, 80.225395 24.99998, 80.223705 24.998423, 80.217766 24.992948, 80.215863 24.991194, 80.213191 24.989552, 80.327598 24.9646, 80.36612 24.934679, 80.358592 24.942609, 80.358054 24.943176, 80.339153 24.963081, 80.335422 24.96701, 80.334467 24.968016, 80.333597 24.968932, 80.332907 24.969659, 80.332348 24.970248, 80.331558 24.971079, 80.3313 24.971352, 80.331005 24.971661, 80.330681 24.972003, 80.329938 24.972785, 80.329445 24.973304, 80.328281 24.97453, 80.327673 24.97517, 80.32728 24.975584, 80.326902 24.975982, 80.326619 24.97628, 80.326063 24.976866, 80.325827 24.977114, 80.325165 24.977811, 80.32529 24.978121, 80.325294 24.978129, 80.325359 24.97829, 80.325465 24.978552, 80.325657 24.979026, 80.326061 24.980026, 80.32976 24.989167, 80.329895 24.989501, 80.330993 24.9922, 80.330547 24.992326, 80.329561 24.992813, 80.328932 24.992899, 80.328625 24.993413, 80.327629 24.994045, 80.326985 24.994298, 80.326495 24.994884, 80.326262 24.99543, 80.326024 24.995683, 80.326001 24.995708, 80.325838 24.99588, 80.325677 24.996035, 80.325664 24.996047, 80.325329 24.996352, 80.324746 24.996883, 80.323532 24.997456, 80.323136 24.997736, 80.322873 24.998128, 80.322764 24.998336, 80.322917 24.998615, 80.323101 24.998769, 80.323011 24.998855, 80.322813 24.998896, 80.322858 24.999022, 80.322887 24.999162, 80.322778 24.999302, 80.322596 24.999483, 80.322457 24.999617, 80.322285 24.999782, 80.32209 24.999961, 80.321992 25.000001, 80.32181 25.000149, 80.321585 25.000358, 80.321502 25.000484, 80.321341 25.00073, 80.321183 25.000941, 80.321118 25.001051, 80.321108 25.001132, 80.321118 25.001191, 80.321143 25.001254, 80.321178 25.001303, 80.321544 25.001665, 80.321643 25.0018, 80.321668 25.001868, 80.32166 25.001935, 80.321659 25.001939, 80.321658 25.001949, 80.321593 25.001985, 80.321544 25.001999, 80.321494 25.00199, 80.32144 25.001949, 80.321346 25.001872, 80.321216 25.001762, 80.321212 25.00176, 80.321212 25.001759, 80.321118 25.001714, 80.320979 25.001574, 80.321044 25.001777, 80.321043 25.001872, 80.321063 25.001967, 80.321053 25.00208, 80.321048 25.002156, 80.321024 25.002206, 80.320984 25.002233, 80.320915 25.002247, 80.32085 25.002229, 80.32079 25.002187, 80.320755 25.002164, 80.320702 25.002129, 80.320646 25.002099, 80.320568 25.002057, 80.320474 25.002043, 80.320405 25.00207, 80.320345 25.002134, 80.320325 25.002201, 80.32034 25.002274, 80.32037 25.002337, 80.320424 25.002391, 80.320444 25.002413, 80.320602 25.002585, 80.320682 25.002671, 80.320696 25.002716, 80.320677 25.002802, 80.320632 25.002833, 80.320488 25.002856, 80.320323 25.002851, 80.319953 25.002833, 80.319785 25.002797, 80.319636 25.002747, 80.319516 25.002702, 80.319421 25.002666, 80.319052 25.002526, 80.318899 25.002377, 80.31878 25.002521, 80.318715 25.002562, 80.318676 25.002616, 80.318646 25.002679, 80.318631 25.002752, 80.318678 25.002842, 80.31871 25.002995, 80.318551 25.002968, 80.318344 25.002905, 80.3182 25.002914, 80.318101 25.002936, 80.317992 25.002986, 80.317858 25.003049, 80.317764 25.003081, 80.317675 25.003076, 80.317606 25.00304, 80.317507 25.003008, 80.317422 25.003004, 80.317368 25.003044, 80.317343 25.003108, 80.317269 25.003225, 80.317219 25.003234, 80.317155 25.003252, 80.31708 25.003252, 80.316927 25.003234, 80.316793 25.003252, 80.316744 25.003301, 80.316645 25.003378, 80.31661 25.003411, 80.316549 25.003467, 80.316367 25.003569, 80.316361 25.003572, 80.316311 25.003596, 80.316128 25.003681, 80.316067 25.00371, 80.316048 25.003719, 80.315977 25.00375, 80.31594 25.003766, 80.315841 25.00381, 80.315755 25.003847, 80.315746 25.003851, 80.315721 25.003862, 80.315718 25.003863, 80.315713 25.003865, 80.315405 25.004019, 80.315207 25.004165, 80.315084 25.004289, 80.314926 25.004132, 80.314856 25.004, 80.31446 25.003756, 80.314123 25.003594, 80.3139 25.003526, 80.313712 25.003508, 80.313578 25.003508, 80.313535 25.00351, 80.31338 25.003517, 80.313232 25.003566, 80.313103 25.003656, 80.312959 25.003774, 80.312939 25.003823, 80.31292 25.003923, 80.312923 25.003971, 80.312925 25.004003, 80.312939 25.004248, 80.312929 25.00437, 80.312899 25.004406, 80.31286 25.004419, 80.312785 25.004397, 80.312677 25.004369, 80.312568 25.004369, 80.312454 25.004396, 80.312399 25.004442, 80.312354 25.0046, 80.312335 25.004708, 80.312295 25.004807, 80.312221 25.004888, 80.312117 25.004924, 80.311887 25.00491, 80.31176 25.004902, 80.311626 25.00492, 80.311522 25.004969, 80.311374 25.005104, 80.311086 25.00538, 80.310937 25.005488, 80.310809 25.005565, 80.31061 25.00561, 80.310544 25.005664, 80.310452 25.005696, 80.310462 25.00556, 80.310487 25.005465, 80.310457 25.005199, 80.310393 25.005055, 80.310353 25.005009, 80.310308 25.00493, 80.310241 25.004896, 80.3102 25.004874, 80.310051 25.005041, 80.309893 25.005127, 80.30979 25.005199, 80.309729 25.005245, 80.309541 25.005397, 80.309397 25.00546, 80.309233 25.005505, 80.308867 25.005532, 80.308599 25.005636, 80.308258 25.005844, 80.30795 25.006101, 80.307405 25.006484, 80.307356 25.006642, 80.307306 25.006863, 80.307083 25.007238, 80.306845 25.007481, 80.306795 25.007504, 80.306657 25.007567, 80.306449 25.007653, 80.306374 25.007752, 80.30631 25.007869, 80.306306 25.007914))",488220_G,C13
"POLYGON ((80.312349 24.614043, 80.331887 24.642954, 80.331476 24.642883, 80.3537574 24.680253, 80.359569 24.728852, 80.315383 24.709361, 80.3100732 24.6814114, 80.2827994 24.6434772, 80.308576 24.611944, 80.312349 24.614043))",488333_A,C7
"POLYGON ((80.39439 24.663584, 80.4015348 24.7512343, 80.396517 24.766373, 80.387813 24.750736, 80.374942 24.739348, 80.359569 24.728852, 80.3537574 24.680253, 80.331887 24.642954, 80.312349 24.614043, 80.308576 24.611944, 80.307999 24.602075, 80.307039 24.567002, 80.342394 24.586672, 80.39439 24.663584))",488333_B,C9
"POLYGON ((80.372425 24.559295, 80.427479 24.640695, 80.423151 24.647953, 80.395355 24.674512, 80.39439 24.663584, 80.342394 24.586672, 80.307039 24.567002, 80.306905 24.562112, 80.32966 24.535504, 80.372425 24.559295))",488333_C,C11
