Pincode,Volumetric Lat,Volumetric Long
792055,27.23565,96.96386
792104,27.92247594,96.74213107
792101,28.86692782,95.82503048
792122,27.50097571,96.21750215
792102,27.8006045,96.13934666
792001,27.95893675,96.13779444
792103,27.69333675,95.85736905
792123,27.2738117,96.09524602
792121,27.33566352,96.02021364
792111,27.94207783,95.82949688
792110,28.13196954,95.7811386
786157,27.9037433,95.80070048
792120,27.16079157,95.79010103
786174,27.4030278,95.8353321
786173,27.40375008,95.64724166
786155,27.8487514,95.60841011
792129,27.18834481,95.52645926
786170,27.48021686,95.45424162
792130,26.97281841,95.50462544
791104,28.15908493,95.36141062
786614,27.27516536,95.42463389
786623,27.19172557,95.35839439
786191,27.35593483,95.40713572
792131,26.85417252,95.32395116
786610,27.28533122,95.22858766
786601,27.41726184,95.30849081
786158,27.83332772,95.70805095
786692,27.37041675,95.31542157
786621,27.21924917,95.29536872
785693,27.14093714,95.2940439
786602,27.34427355,95.30855924
787060,27.77343554,95.2157529
785705,26.28708888,94.03199488
785692,27.09434214,95.16899159
786612,27.2122527,95.16912818
798602,26.90000866,95.05376706
786611,27.1803267,95.0930695
785691,27.08210374,94.99413096
785690,27.00915969,95.04747219
798603,26.44630493,94.99258792
791103,28.09333433,95.36815707
786613,27.23667777,95.01797921
785689,26.99162216,94.92968681
785676,27.28443268,94.90525522
785670,27.14838792,94.93022137
791102,27.9670387,95.31397964
786622,27.17478254,95.4021994
787061,27.69537157,94.95509936
785673,27.08440047,94.85837318
785688,27.02232873,94.8776892
785669,27.08995307,94.79617703
798622,26.78864318,94.81828041
798611,25.86806548,94.79316655
798619,26.51327079,94.86502416
798625,26.51327079,94.86502416
785675,27.21755736,94.88817791
785687,26.85730221,94.78530082
785674,27.02502007,94.78339449
791105,29.05266417,94.68719459
787059,27.59900477,94.7602946
791002,28.48446194,95.06825395
791001,28.17026342,94.83112606
798616,26.22875627,94.67144112
798613,26.53961318,94.68321529
791125,27.68635252,94.61591039
785701,26.97012065,94.71601024
798623,26.71884699,94.64013454
797114,25.66149762,94.68115837
791101,27.98356469,94.64569012
798614,26.42538548,94.65430391
787110,27.51244112,94.69070875
791003,28.39279181,94.20311697
798618,26.64690151,94.67319614
798615,26.42854036,94.56208076
785661,26.89535156,94.53465477
797108,25.6950503,94.47410817
798607,26.24832863,94.41361444
787057,27.48138397,94.55863973
785664,26.95395831,94.51567233
787058,27.33401077,94.56265188
798627,26.19283102,94.49336664
795142,25.21345118,94.41238311
798604,26.52641495,94.38333119
787055,27.19246716,94.37296317
787026,27.43731023,94.44091617
785635,26.70831212,94.40517219
785110,27.01796392,94.37873959
785634,26.65681067,94.32201628
